,University,Former names,Detailed_Location,Students,Undergraduates,Postgraduates,Url,Location,Established,Number of students,Tuition fee,Degree powers
41,Norwich University of the Arts,Norwich School of DesignNorfolk Institute of Art and DesignNorwich School of Art and DesignNorwich University College of the Arts,"Norwich, Norfolk, United Kingdom52°37′49″N 1°17′48″E﻿ / ﻿52.6303°N 1.2966°E﻿ / 52.6303; 1.2966Coordinates: 52°37′49″N 1°17′48″E﻿ / ﻿52.6303°N 1.2966°E﻿ / 52.6303; 1.2966","2,305 (2018/19)[1]","2,205 (2018/19)[1]",100 (2018/19)[1],https://en.wikipedia.org/wiki/Norwich_University_of_the_Arts,Norwich,2012 (1845),"2,305","£9,250",Taught
42,Leeds Beckett University,Leeds Metropolitan UniversityLeeds Polytechnic,"Leeds, England","23,275 (2018/19)[5]","17,915 (2018/19)[5]","5,360 (2018/19)[5]",https://en.wikipedia.org/wiki/Leeds_Beckett_University,Leeds,1992 (1970),"23,275","£9,250",Full
43,University of Lincoln,,"Lincoln, Lincolnshire, England, UK","15,875 (2018/19)[5]","13,560 (2018/19)[5]","2,315 (2018/19)[5]",https://en.wikipedia.org/wiki/University_of_Lincoln,Lincoln,1992,"15,875","£9,250",Full
44,University of Chester,"
List
Chester Diocesan Training College (1839–1963)Chester College of Education (1963–1974)Chester College of Higher Education (1974–1996)University College Chester (1996–1999)Chester, a College of the University of Liverpool (1999–2003)University College Chester (2003–2005)
","Chester, Ellesmere Port, Warrington and Shrewsbury, Cheshire, UK53°12′01″N 2°53′53″W﻿ / ﻿53.200326°N 2.898073°W﻿ / 53.200326; -2.898073Coordinates: 53°12′01″N 2°53′53″W﻿ / ﻿53.200326°N 2.898073°W﻿ / 53.200326; -2.898073","14,900","10,800[5]","4,100[5]",https://en.wikipedia.org/wiki/University_of_Chester,"Chester, Warrington",2005 (1839),"14,570","£9,250",Full
45,University of Worcester,,"Worcester, Worcestershire, United Kingdom52°11′52″N 2°14′35″W﻿ / ﻿52.1977°N 2.2431°W﻿ / 52.1977; -2.2431","10,075 (2018/19)[4]","8,410 (2018/19)[4]","1,665 (2018/19)[4]",https://en.wikipedia.org/wiki/University_of_Worcester,Worcester,1997,"10,075","£9,250",Full
46,Aston University,,"Birmingham, England, United Kingdom52°29′10″N 1°53′22″W﻿ / ﻿52.4860°N 1.8895°W﻿ / 52.4860; -1.8895Coordinates: 52°29′10″N 1°53′22″W﻿ / ﻿52.4860°N 1.8895°W﻿ / 52.4860; -1.8895","15,500 (2017/18)[4]","11,935 (2017/18)[4]","3,565 (2017/18)[4]",https://en.wikipedia.org/wiki/Aston_University,Birmingham,1966 (1895),"14,990","£9,250",Full
47,University of Northampton,"University College Nene College of Higher Education (1975),Northampton Technical College (1924)","Northampton, Northamptonshire, UK","11,985 (2018/19)[3]","9,655 (2018/19)[3]","2,325 (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_Northampton,Northampton,2005 (1975),"11,985","£9,250",Full
48,University of Sunderland,"Sunderland Technical College (1901–1969), Sunderland Polytechnic (1969–1992)","Sunderland, Tyne and Wear, United Kingdom","14,705 (2018/19)[1]","11,925 (2018/19)[1]","2,785 (2018/19)[1]",https://en.wikipedia.org/wiki/University_of_Sunderland,Sunderland,1992 (1901),"14,705","£9,250",Full
49,Royal Agricultural University,,"Cirencester Gloucestershire, United Kingdom","1,150 (2018/19)[1]","1,045 (2018/19)[1]",105 (2018/19)[1],https://en.wikipedia.org/wiki/Royal_Agricultural_University,Cirencester,2012 (1845),"1,150","£9,250",Taught
50,Roehampton University,,"Roehampton, London, England, UK","12,665 (2018/19)[2]","10,730 (2018/19)[2]","1,935 (2018/19)[2]",https://en.wikipedia.org/wiki/Roehampton_University,Roehampton (London),2004 (1841),"12,665","£9,250",Taught
51,University of Winchester,King Alfred's College,"Winchester, Hampshire, England","7,770 (2018/19)[1]","6,455 (2018/19)[1]","1,310 (2018/19)[1]",https://en.wikipedia.org/wiki/University_of_Winchester,Winchester,2005 (1840),"7,770","£9,250",Full
52,University of West London,"Thames Valley University, Polytechnic of West London, Lady Byron School, Ealing College of Higher Education, Thames Valley College of Higher Education, Queen Charlotte's College of Health Care Studies","Ealing, Brentford, and Reading, United Kingdom","11,055 HE (2018/19)[2]","9,055 (2018/19)[2]","2,000 (2018/19)[2]",https://en.wikipedia.org/wiki/University_of_West_London,"Brentford, Ealing (both London), Reading",1992,"11,055","£9,250",Full
53,Northumbria University,,"Newcastle upon Tyne, Tyne and Wear, England, UK54°58′35″N 1°36′29″W﻿ / ﻿54.9764°N 1.6080°W﻿ / 54.9764; -1.6080Coordinates: 54°58′35″N 1°36′29″W﻿ / ﻿54.9764°N 1.6080°W﻿ / 54.9764; -1.6080","26,450 (2018/19)[3]","20,700 (2018/19)[3]","5,750 (2018/19)[3]",https://en.wikipedia.org/wiki/Northumbria_University,Newcastle,1992 (1892),"26,450","£9,250",Full
54,Manchester Metropolitan University,,"Manchester, England, UK53.47053, −2.23872","33,050 (2018/19)[4]","26,315 (2018/19)[4]","6,735 (2018/19)[4]",https://en.wikipedia.org/wiki/Manchester_Metropolitan_University,Manchester,1992 (1970),"33,050","£9,250",Full
55,University of Portsmouth,Portsmouth Polytechnic,"Portsmouth, Hampshire, England, UK","25,515 HE (2018/19)[4]","21,090 (2018/19)[4]","4,425 (2018/19)[4]",https://en.wikipedia.org/wiki/University_of_Portsmouth,Portsmouth,1992 (1960),"25,515","£9,250",Full
56,Falmouth University,,"Penryn and Falmouth, Cornwall, England","6,425 (2018/19)[1]","5,800 (2018/19)[1]",625 (2018/19)[1],https://en.wikipedia.org/wiki/Falmouth_University,"Falmouth, Penryn",2012 (1902),"6,425","£9,250",Taught
